	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
    7200.000 -1668096.900   142829.950    87226.221   185053.450     1156.005 -2356074.047   271711.521    42318.346       27.179       55.389     6784.443       17.573      257.000   116520.000       39.000     2566.000       29.000      160.000       76.000        7.000       67.993        0.000        7.612       22.145        2.249        0.000        2.013        2.025        2.748
    7300.000 -1666602.289   144993.457    86507.546   184379.431     1140.469 -2352999.213   269376.021    42610.752       27.158       55.399     6912.988       17.581      258.000   115922.000       38.000     2635.000       33.000      160.000       73.000        7.000       69.550        0.000        6.920       22.837        0.692        0.000        2.182        2.191        2.885
    7400.000 -1666873.221   144327.814    86893.364   185387.213     1063.326 -2356116.626   271571.688    42038.221       27.180       55.384     6943.410       17.537      257.000   116310.000       44.000     2630.000       39.000      145.000       73.000        8.000       69.031        0.000        6.228       23.356        1.384        0.000        2.053        2.057        2.760
    7500.000 -1667358.831   143088.843    86057.740   185188.416     1202.804 -2358014.109   275117.476    42836.397       27.285       55.374     6837.909       17.661      265.000   116246.000       36.000     2630.000       39.000      146.000       75.000        7.000       67.647        0.000        8.304       23.356        0.692        0.000        2.045        2.060        2.823
    7600.000 -1667092.952   144714.348    87557.281   185068.329     1160.004 -2356062.334   270469.420    42274.598       27.250       55.383     6882.775       17.577      255.000   116064.000       37.000     2599.000       42.000      166.000       86.000        7.000       69.204        0.000       10.381       19.723        0.692        0.000        2.243        2.254        2.965
    7700.000 -1667158.673   146674.770    86609.872   184689.299     1222.906 -2356643.751   270288.230    42591.483       27.252       55.416     6887.628       17.628      262.000   116516.000       48.000     2523.000       39.000      147.000       73.000        8.000       69.550        0.000        8.304       21.107        1.038        0.000        2.068        2.081        2.847
    7800.000 -1667542.242   143625.597    86646.377   185006.907     1092.856 -2353492.406   269578.427    42363.044       27.324       55.384     6835.660       17.602      256.000   115870.000       44.000     2564.000       36.000      148.000       72.000        7.000       68.339        0.000        8.304       23.356        0.000        0.000        2.329        2.337        3.059
    7900.000 -1667015.227   144601.509    87068.640   184837.210     1113.841 -2354382.933   269746.506    42541.268       27.349       55.392     6900.746       17.521      254.000   116108.000       39.000     2500.000       43.000      136.000       88.000        7.000       68.685        0.000        7.612       22.318        1.384        0.000        2.385        2.392        3.111
    8000.000 -1666378.605   141925.399    86365.052   184663.288     1070.060 -2352811.441   272409.038    42501.238       27.268       55.436     6918.888       17.550      248.000   116102.000       40.000     2463.000       39.000      149.000       73.000        8.000       67.128        0.000        7.612       23.010        2.249        0.000        2.446        2.452        3.184
    8100.000 -1667312.380   143298.876    86641.924   184508.306     1212.773 -2356957.123   273982.863    42501.803       27.304       55.377     6863.588       17.608      257.000   116256.000       38.000     2542.000       28.000      162.000       76.000        7.000       66.782        0.000        9.689       22.837        0.692        0.000        2.485        2.495        3.139
    8200.000 -1667388.650   141491.375    86144.546   185332.821     1143.378 -2355810.853   274310.083    42663.442       27.051       55.381     6738.480       17.449      260.000   116292.000       35.000     2635.000       32.000      156.000       70.000        7.000       66.436        0.000        7.612       23.702        2.249        0.000        2.245        2.258        2.980
    8300.000 -1666316.349   144393.353    86791.377   185033.884     1078.018 -2352812.145   269199.164    42436.337       27.272       55.383     6791.109       17.332      250.000   116008.000       40.000     2599.000       32.000      141.000       74.000        8.000       69.550        0.000        4.152       23.875        2.422        0.000        2.263        2.275        3.049
    8400.000 -1664982.969   144582.143    86243.674   185545.911     1225.663 -2353886.765   271306.405    42140.085       27.176       55.396     6816.126       17.553      249.000   115764.000       39.000     2616.000       36.000      135.000       77.000        7.000       67.993        0.000        9.689       21.453        0.865        0.000        2.286        2.297        3.035
    8500.000 -1666436.416   143399.722    85689.001   185558.061     1219.141 -2354859.198   272556.858    42338.650       27.209       55.410     6675.300       17.316      242.000   116032.000       38.000     2602.000       32.000      155.000       78.000        8.000       67.128        0.000       11.073       20.588        1.211        0.000        2.217        2.230        2.946
    8600.000 -1667556.642   145396.689    86621.004   184696.683     1123.885 -2359268.927   273874.023    41605.330       27.247       55.417     6695.426       17.242      255.000   116122.000       44.000     2582.000       28.000      154.000       82.000        7.000       67.993        0.000        9.689       22.318        0.000        0.000        2.188        2.203        2.898
    8700.000 -1667263.756   144123.324    86691.918   184947.954     1077.292 -2355324.731   271220.487    41544.411       27.307       55.370     6702.789       17.411      249.000   115990.000       47.000     2573.000       26.000      148.000       73.000        7.000       63.322        0.000       12.457       23.529        0.692        0.000        2.295        2.311        2.973
    8800.000 -1664752.693   143318.773    86212.612   184819.276     1123.110 -2354024.705   273798.240    43447.412       27.110       55.412     6691.966       17.385      250.000   115932.000       45.000     2626.000       28.000      158.000       78.000        8.000       65.917        0.000        8.997       22.664        2.422        0.000        2.093        2.115        2.870
    8900.000 -1665412.212   145709.143    86768.556   185079.598     1087.256 -2354097.336   270040.570    42070.564       27.220       55.371     6740.151       17.356      259.000   116174.000       37.000     2575.000       33.000      152.000       80.000        8.000       67.128        0.000       10.381       21.626        0.865        0.000        2.118        2.128        2.840
    9000.000 -1665748.485   142551.541    85699.766   185694.936     1063.183 -2354947.025   274189.114    41966.067       27.257       55.344     6678.125       17.475      254.000   115970.000       42.000     2661.000       38.000      169.000       73.000        7.000       65.225        0.000        8.997       23.529        2.249        0.000        2.138        2.156        2.866
    9100.000 -1663576.253   142963.938    86592.305   185462.428     1077.272 -2353161.250   273489.054    42526.562       27.162       55.387     6838.116       17.502      260.000   115988.000       41.000     2563.000       33.000      171.000       75.000        8.000       65.917        0.000        6.920       25.087        2.076        0.000        2.204        2.217        2.905
    9200.000 -1668629.190   145956.454    86256.613   185034.625     1101.185 -2354513.331   267535.263    42372.735       27.271       55.407     6779.865       17.404      243.000   116078.000       42.000     2606.000       34.000      171.000       70.000        7.000       64.533        0.000        9.689       24.394        1.384        0.000        2.379        2.400        3.036
    9300.000 -1665533.845   142495.900    87372.765   185042.830     1119.012 -2355158.933   273594.581    42591.496       27.097       55.362     6758.740       17.459      243.000   116318.000       39.000     2649.000       29.000      171.000       71.000        7.000       62.976        0.000        9.689       25.260        2.076        0.000        2.102        2.119        2.808
    9400.000 -1665297.960   143124.774    86933.978   185479.565     1143.359 -2353436.917   271457.281    42748.278       27.068       55.377     6908.934       17.611      260.000   115762.000       39.000     2611.000       30.000      153.000       72.000        7.000       65.917        0.000        7.612       24.740        1.730        0.000        2.163        2.178        2.894
