	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
    4100.000 -1612728.307   141822.857    86064.424   185440.114     1110.875 -2293045.229   265878.652    43440.874       27.471       55.413     7031.670       17.492      255.000   116104.000       41.000     2601.000       26.000      154.000       71.000        0.000       68.339        0.000        8.304       21.799        1.557        0.000        2.457        2.478        3.066
    4200.000 -1616409.924   143362.245    85813.100   185245.816     1116.248 -2297109.405   265162.072    43061.713       27.284       55.447     7121.972       17.444      248.000   116210.000       41.000     2598.000       28.000      164.000       73.000        0.000       67.301        0.000        6.920       24.048        1.730        0.000        2.347        2.370        2.975
    4300.000 -1612067.088   144940.920    87383.660   185443.012     1089.473 -2294213.491   263289.338    41747.942       27.351       55.428     6991.810       17.528      269.000   115822.000       39.000     2547.000       25.000      142.000       75.000        0.000       66.609        0.000        9.689       23.702        0.000        0.000        2.270        2.290        2.903
    4400.000 -1613312.028   144436.073    86934.192   185423.066     1096.566 -2295882.698   264680.773    42012.717       27.447       55.432     7010.151       17.468      254.000   116054.000       38.000     2570.000       30.000      140.000       72.000        0.000       66.955        0.000        9.689       21.972        1.384        0.000        2.336        2.355        2.933
    4500.000 -1613492.628   145118.823    86305.886   185644.873     1102.294 -2294598.598   262934.095    41923.434       27.426       55.443     7000.945       17.277      251.000   116128.000       43.000     2638.000       37.000      149.000       65.000        0.000       67.993        0.000        6.920       23.702        1.384        0.000        2.462        2.487        2.985
    4600.000 -1613508.957   141749.886    86354.665   185787.138     1140.928 -2298872.982   270331.407    42883.543       27.322       55.401     7013.388       17.142      254.000   116160.000       38.000     2542.000       32.000      132.000       74.000        0.000       67.301        0.000       11.073       21.626        0.000        0.000        2.207        2.229        2.907
    4700.000 -1614579.037   141479.818    86221.202   185625.739     1176.584 -2297690.804   268608.424    43076.903       27.374       55.421     6979.416       17.232      251.000   116430.000       39.000     2607.000       32.000      148.000       66.000        0.000       66.436        0.000        7.612       24.913        1.038        0.000        2.092        2.115        2.763
    4800.000 -1613566.713   142076.992    87034.402   185597.355     1174.725 -2297645.059   268194.871    42968.000       27.109       55.422     7041.898       17.365      257.000   116362.000       36.000     2612.000       26.000      152.000       70.000        0.000       69.550        0.000        7.612       21.453        1.384        0.000        1.931        1.957        2.628
    4900.000 -1613026.955   140820.140    86791.478   185490.500     1139.420 -2296587.662   269319.169    43363.581       27.277       55.405     7135.847       17.505      259.000   116216.000       37.000     2583.000       34.000      135.000       76.000        0.000       67.301        0.000        9.689       20.588        2.422        0.000        2.194        2.220        2.787
    5000.000 -1614553.355   143053.710    86484.865   185772.764     1151.494 -2298651.496   267635.308    42863.102       27.192       55.442     6992.987       17.446      244.000   116282.000       35.000     2654.000       34.000      129.000       76.000        0.000       66.609        0.000        7.612       23.702        2.076        0.000        2.116        2.144        2.802
    5100.000 -1612736.190   140762.732    86156.775   185809.232     1170.099 -2293543.027   266908.000    42714.856       27.240       55.454     6957.300       17.178      251.000   116470.000       37.000     2654.000       31.000      127.000       78.000        0.000       68.858        0.000        6.920       22.664        1.557        0.000        2.076        2.101        2.731
    5200.000 -1614213.016   143596.671    86649.206   185313.609     1160.303 -2294970.937   264038.131    43097.633       27.148       55.442     7023.832       17.306      254.000   116500.000       36.000     2733.000       29.000      154.000       78.000        0.000       68.339        0.000        5.536       23.702        2.422        0.000        2.007        2.030        2.720
    5300.000 -1614241.249   144326.072    85999.381   185512.160     1240.691 -2298595.523   267275.971    43027.770       27.259       55.494     7111.073       17.324      258.000   116416.000       39.000     2700.000       40.000      156.000       69.000        0.000       67.301        0.000        9.689       20.588        2.422        0.000        2.304        2.332        2.853
    5400.000 -1612127.343   142188.968    86613.428   185674.420     1171.934 -2295078.995   267302.901    42103.338       27.214       55.416     7096.067       17.173      270.000   116088.000       36.000     2709.000       29.000      157.000       77.000        0.000       67.474        0.000        7.612       23.356        1.557        0.000        2.260        2.286        2.888
    5500.000 -1613513.503   142432.050    86843.566   185768.474     1157.671 -2296670.654   266955.390    42823.010       27.136       55.428     7071.550       17.132      259.000   116310.000       41.000     2678.000       39.000      171.000       73.000        0.000       66.782        0.000        6.920       24.048        2.249        0.000        2.359        2.384        2.959
    5600.000 -1612647.251   141487.619    87287.121   185172.782     1117.586 -2294261.889   266549.530    43040.761       27.173       55.420     7075.415       17.360      248.000   116130.000       35.000     2785.000       39.000      176.000       75.000        0.000       65.571        0.000       10.381       21.972        2.076        0.000        2.418        2.444        2.981
    5700.000 -1612404.651   143298.356    86179.295   186135.962     1089.341 -2294662.548   265554.942    43388.938       27.292       55.425     7050.565       17.265      265.000   116120.000       37.000     2646.000       27.000      146.000       74.000        0.000       65.571        0.000       11.765       20.242        2.422        0.000        2.511        2.534        3.044
    5800.000 -1611970.294   142317.479    86241.208   185430.679     1164.442 -2293648.536   266524.435    42173.575       27.298       55.419     6986.137       17.384      254.000   115778.000       40.000     2704.000       33.000      161.000       68.000        0.000       66.090        0.000        8.997       21.799        3.114        0.000        2.462        2.485        3.058
    5900.000 -1613210.976   143615.368    86846.039   185744.971     1148.814 -2293605.148   263038.980    41707.855       27.390       55.410     7085.107       17.431      258.000   116214.000       36.000     2639.000       31.000      170.000       68.000        0.000       66.955        0.000        8.304       21.453        3.287        0.000        2.697        2.718        3.274
    6000.000 -1611664.492   143926.963    86219.682   185493.143     1124.343 -2294230.973   265802.349    42770.451       27.442       55.419     7129.592       17.534      258.000   115946.000       33.000     2562.000       30.000      152.000       70.000        0.000       69.723        0.000        8.304       20.415        1.557        0.000        2.649        2.671        3.249
    6100.000 -1614638.955   143615.887    86076.257   185556.335     1084.451 -2297806.181   266834.296    41952.557       27.268       55.430     7027.074       17.439      257.000   116288.000       30.000     2581.000       28.000      137.000       71.000        0.000       69.550        0.000        7.612       21.453        1.384        0.000        2.805        2.821        3.523
    6200.000 -1609559.705   141162.213    86778.881   185821.811     1099.690 -2291465.652   267043.352    42937.876       27.172       55.395     7104.790       17.566      264.000   115920.000       33.000     2643.000       33.000      153.000       76.000        0.000       70.242        0.000        7.612       21.280        0.865        0.000        2.533        2.555        3.287
    6300.000 -1612397.492   143193.191    85864.770   186083.218     1101.246 -2292487.780   263847.863    41576.178       27.356       55.394     7110.331       17.648      247.000   116068.000       29.000     2634.000       35.000      145.000       79.000        0.000       66.955        0.000        9.689       21.799        1.557        0.000        2.567        2.587        3.344
    6400.000 -1612322.071   144120.748    86431.798   185784.960     1151.085 -2294486.766   264676.104    43495.954       27.442       55.454     7044.439       17.679      262.000   116224.000       27.000     2610.000       29.000      146.000       80.000        0.000       69.377        0.000        7.612       20.415        2.595        0.000        2.908        2.928        3.670
    6500.000 -1614515.858   141715.407    86363.529   185829.920     1178.794 -2296450.269   266846.760    43364.121       27.395       55.442     7070.972       17.408      262.000   116312.000       29.000     2695.000       35.000      166.000       81.000        0.000       68.339        0.000        6.228       21.280        4.152        0.000        2.882        2.902        3.491
    6600.000 -1615410.693   143417.822    86883.722   185404.401     1112.818 -2298818.369   266588.913    42649.033       27.431       55.422     7120.149       17.405      253.000   116394.000       31.000     2668.000       40.000      147.000       75.000        0.000       68.166        0.000       10.381       20.069        1.384        0.000        3.124        3.146        3.684
    6700.000 -1614414.106   143703.435    86983.679   185466.057     1104.774 -2299134.897   267462.846    43203.830       27.459       55.457     7185.131       17.755      261.000   116344.000       36.000     2622.000       37.000      164.000       67.000        0.000       64.187        0.000       12.457       20.415        2.941        0.000        2.785        2.804        3.482
    6800.000 -1612212.825   142389.078    85976.649   185977.424     1176.664 -2293834.286   266101.645    42566.726       27.501       55.426     7075.543       17.599      267.000   116294.000       35.000     2654.000       31.000      187.000       74.000        0.000       70.934        0.000        6.228       21.280        1.557        0.000        2.919        2.939        3.447
    6900.000 -1612621.336   142159.006    86430.645   185519.499     1078.425 -2295030.683   267221.772    42456.940       27.473       55.416     7061.048       17.888      273.000   116208.000       32.000     2677.000       32.000      155.000       72.000        0.000       67.128        0.000        8.997       22.318        1.557        0.000        2.773        2.793        3.352
    7000.000 -1614626.211   138410.726    85576.278   185906.734     1070.440 -2296141.791   270551.402    42610.910       27.635       55.414     7190.661       17.773      266.000   116476.000       35.000     2606.000       35.000      152.000       78.000        0.000       66.955        0.000        8.997       21.799        2.249        0.000        3.202        3.218        3.773
    7100.000 -1613671.731   142053.555    85639.586   185583.883     1028.236 -2293983.100   266006.109    42473.170       27.498       55.408     7326.366       18.439      272.000   116184.000       30.000     2642.000       41.000      157.000       72.000        0.000       67.647        0.000        7.612       21.453        3.287        0.000        3.038        3.057        3.720
    7200.000 -1613015.408   140469.982    86890.412   185585.045     1131.763 -2295420.741   268328.132    42937.577       27.440       55.429     7187.455       17.871      267.000   116064.000       32.000     2636.000       44.000      120.000       73.000        0.000       68.512        0.000        4.844       22.837        3.806        0.000        3.108        3.123        3.678
    7300.000 -1614272.854   143337.448    85861.710   184814.794     1043.160 -2295939.431   266609.465    43321.616       27.614       55.389     7331.001       18.225      272.000   116016.000       28.000     2678.000       35.000      156.000       77.000        0.000       67.128        0.000        8.304       20.588        3.979        0.000        3.140        3.154        3.633
    7400.000 -1614156.320   143167.781    86164.580   185460.005     1093.394 -2296179.112   266137.034    42979.264       27.616       55.403     7349.706       18.325      283.000   116238.000       34.000     2710.000       20.000      162.000       74.000        0.000       66.263        0.000        6.920       23.183        3.633        0.000        3.349        3.365        3.860
    7500.000 -1615575.325   143921.022    86274.598   185142.103     1158.272 -2300909.320   268838.000    42500.646       27.559       55.388     7221.192       18.418      268.000   116510.000       31.000     2611.000       26.000      148.000       66.000        0.000       66.090        0.000        7.612       21.799        4.498        0.000        2.873        2.887        3.470
    7600.000 -1613873.870   141510.451    85561.829   185570.724     1113.080 -2294024.837   266394.885    42227.730       27.639       55.427     7239.650       18.518      267.000   116250.000       27.000     2727.000       24.000      157.000       69.000        0.000       65.398        0.000        8.304       22.664        3.633        0.000        3.049        3.064        3.678
    7700.000 -1615692.881   142733.424    87374.017   185361.243     1130.088 -2301086.915   268795.263    43181.936       27.505       55.417     7314.141       18.586      279.000   116276.000       28.000     2729.000       25.000      168.000       75.000        0.000       67.301        0.000       10.381       20.069        2.249        0.000        3.365        3.385        3.921
