        Time	Energy		x1				x2			x3				x4			x5			x6	
   75000.000    2174.493   10525.960   60937.946    14188.050   11793.355     2548.647   69443.364
   75100.000    2197.663   10676.943   60984.016    14096.861   11815.063     2576.472   69757.970
   75200.000    2382.581   10449.397   62070.153    14141.104   11597.076     3058.306   70651.247
   75300.000    2287.589   10141.430   62228.588    14084.329   11510.375     3152.290   70660.765
   75400.000    2535.434    9310.935   62638.479    14037.635   11629.738     3859.130   70865.214
   75500.000    2204.056    9139.582   62099.869    14293.342   11644.336     4357.247   70743.636
   75600.000    2472.800    9710.612   61861.638    13958.945   11658.136     3256.972   70055.613
   75700.000    2302.377   10741.730   61439.169    13966.958   11696.717     2287.939   69896.218
   75800.000    2287.511    9785.262   62835.341    13914.306   11911.477     3165.907   71496.170
   75900.000    2248.450    9401.613   63189.440    14162.701   11726.141     3917.161   71823.204
   76000.000    2322.837    9580.510   62369.954    14315.367   11737.352     3981.845   71031.458
   76100.000    2248.935   10845.439   60715.825    14118.932   11561.601     2390.846   69145.845
   76200.000    2153.564    8982.575   62878.246    14320.562   12039.467     4491.533   71917.694
   76300.000    2290.083   10166.288   61736.268    14053.788   11396.619     2996.615   69951.919
   76400.000    2303.352    9309.539   62759.498    13870.289   11312.556     3681.238   70889.190
   76500.000    2207.279   10755.469   61628.563    14321.431   11762.359     2729.271   70346.953
   76600.000    2122.149   10019.669   62355.981    13972.364   11356.060     3179.953   70817.150
   76700.000    2298.676   10364.855   63437.609    13792.042   11364.500     2542.523   71618.769
   76800.000    2160.645   10035.191   63264.319    14120.434   11686.559     3264.776   71969.766
   76900.000    2073.575    8679.112   63594.985    13918.527   11448.715     4559.234   72289.945
   77000.000    2108.204   10405.895   62788.187    14444.920   11713.870     3219.388   71574.215
   77100.000    2268.586    9664.530   62587.508    14139.848   11689.291     3806.378   71339.273
   77200.000    2040.406    9430.470   62957.128    14203.521   11739.480     3831.668   71714.819
   77300.000    2028.298    9764.996   62608.889    14247.653   12086.493     3597.391   71781.819
   77400.000    2096.744    8897.589   63933.629    14040.394   11835.211     4304.431   72833.723
   77500.000    2316.523    9766.367   62865.762    14249.083   11895.630     3533.570   71495.722
   77600.000    2148.051    8757.264   62887.625    14209.508   11938.316     4615.358   71841.004
   77700.000    2016.780    8761.639   63701.500    14184.151   11800.134     4609.738   72672.079
   77800.000    2135.953   10070.759   62128.682    14579.659   11697.484     3850.329   71031.642
   77900.000    1932.591    9927.865   63002.610    14363.475   11766.430     3767.287   72168.126
   78000.000    2166.269   10152.705   61710.388    13771.515   11612.136     3126.672   70664.118
   78100.000    1776.371    9807.008   62364.691    14349.608   11591.330     3865.015   71502.065
   78200.000    2016.565    9971.116   62152.849    13929.197   11509.912     3360.115   71048.230
   78300.000    1986.183    9930.904   61999.050    14064.781   11419.627     3555.894   70854.510
   78400.000    2004.408   11006.757   60593.093    13844.067   11477.291     2006.915   69235.580
   78500.000    1959.104    9280.287   63011.955    13905.692   11386.281     3854.809   71668.536
   78600.000    2142.370    9718.465   62094.698    14225.123   11659.540     3636.330   70741.540
   78700.000    1843.723    9236.187   62804.016    14084.580   11316.668     4068.044   71496.613
   78800.000    2106.284    8777.115   63375.432    14158.066   11496.318     4595.764   71980.279
   78900.000    2138.845    9509.827   62940.176    14064.895   11515.892     4103.215   71865.370
   79000.000    2096.607    9187.213   62753.510    14087.560   11425.795     4345.847   71528.198
   79100.000    1950.441    8458.176   63516.480    14034.633   11597.519     4790.117   72377.217
   79200.000    1953.364    8242.452   63508.374    14265.767   11818.270     5438.323   72788.288
   79300.000    2006.200    9399.462   62517.710    14140.970   11709.874     4035.036   71514.911
   79400.000    1973.703    9383.257   62021.650    14052.007   11741.820     3848.153   70969.169
   79500.000    1919.962    8925.483   63749.979    13764.908   11344.203     4316.040   72650.834
   79600.000    2125.741   10411.162   60940.422    14395.570   11617.606     2945.436   69393.315
   79700.000    2121.479   10207.114   60990.636    14065.034   11584.207     3017.527   69612.971
   79800.000    2004.340   10796.354   60631.869    14127.748   12002.878     2374.462   69673.475
